Date,use [kW]_x,gen [kW]_x,KitchenDenLights [kW],MasterBedBathLights [kW],MasterOutlets [kW]_x,DenOutdoorLights [kW],DenOutlets [kW],RearBasementLights [kW],KitchenOutletsEast [kW],KitchenOutletsSouth [kW],DishwasherDisposalSinkLight [kW],Refrigerator [kW],Microwave [kW],OfficeLights [kW],use [kW]_y,gen [kW]_y,ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW],use [kW],gen [kW],FurnaceHRV [kW],CellarOutlets [kW],WashingMachine [kW],FridgeRange [kW],DisposalDishwasher [kW],KitchenLights [kW],BedroomOutlets [kW],BedroomLights [kW],MasterOutlets [kW]_y,MasterLights [kW],DuctHeaterHRV [kW]
2015-01-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004249445999999999,0.007599445999999998,0.039216113,0.0,0.0,0.0,0.0,0.0,0,0,12.016514443999995,2.2530138880000004,0.044399998,0.088407774,0.002950555,0.000695,0.5482488889999999,1.3173855570000004,0.6100277789999999,0.364816667,1.2766827780000003
2015-01-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0023122219999999996,0.008949448000000004,0.038018891000000006,0.0,0.0,0.0,0.0,0.0,0,0,6.571333889000002,4.036786111,0.021363887000000005,0.32408444200000014,0.0020783359999999996,0.0007777789999999999,0.547970556,0.7110788919999999,1.0373733319999998,3.512730553,1.2996416619999998
2015-01-13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004117777999999999,0.012865554999999997,0.04148944399999999,0.0,0.0,0.0,0.0,0.0,0,0,11.000490000000001,3.548402225,0.045637783,1.0222588910000001,0.0028527780000000003,0.0011727750000000005,0.5326399989999999,0.37210500099999994,1.1240272210000006,3.4549022209999998,1.513348891
2015-01-14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.008366109,0.013219444999999998,0.04583444399999999,0.0,0.0,0.0,0.0,0.0,0,0,16.808336113,4.0363588880000005,0.124194998,0.6599649979999999,0.004750551999999999,0.0007477779999999998,0.5416166640000001,0.3019944439999998,0.9693038899999997,3.4101550009999997,1.6205666670000003
2015-01-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0033727760000000014,0.006095554999999999,0.03778332999999998,0.0,0.0,0.0,0.0,0.0,0,0,11.231108337000002,4.258419997,0.03969888700000002,2.5297033339999997,0.004619444,0.0038594450000000004,0.5330399990000001,0.3388088899999999,0.7375594449999998,2.1335705560000005,1.5923133350000005
2015-01-16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003833310000000002,0.000624439,0.03281610900000001,0.0,0.0,0.0,0.0,0.0,0,0,8.504238886,3.627348335,0.118493331,1.3281027759999997,0.006491112000000002,0.005235555000000001,0.5417261110000001,0.30127389,0.8863894440000003,2.215078335,1.5694188889999998
2015-01-17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00031334200000000015,0.0005627850000000001,0.033031109999999995,0.0,0.0,0.0,0.0,0.0,0,0,9.104967223000003,2.303690557000001,0.022985554999999998,0.017531109999999996,0.0056455540000000005,0.005085554,0.527117224,0.4657755539999999,0.6033761100000001,0.48660388799999993,1.5583983329999997
2015-01-18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000308338,0.0005588929999999998,0.033028331999999994,0.0,0.0,0.0,0.0,0.0,0,0,6.496646665000002,2.548953333,0.015520556999999994,0.018480001000000003,0.005217774000000002,0.004688332,0.5438527750000001,0.22576611300000002,0.604153333,0.35911389000000005,1.48987945
2015-01-19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003455559999999999,0.000610556,0.032997227999999997,0.0,0.0,0.0,0.0,0.0,0,0,6.764012223000002,3.3354133309999994,0.016486666000000004,2.5297099999999992,0.011033338,0.006167780000000001,0.538912221,0.3799561129999999,6.405985555000001,2.9804516640000007,1.5030994449999997
2015-01-20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00025833200000000006,0.0004961130000000001,0.032598331999999994,0.0,0.0,0.0,0.0,0.0,0,0,8.792606670000001,3.4562494459999997,0.1599533339999999,6.185917218000002,0.009487776000000002,0.007002780000000001,0.530569445,1.168419446,6.879814445,3.617504447,1.3093211080000002
2015-01-21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0001661129999999999,0.00025889600000000016,0.03155777600000001,0.0,0.0,0.0,0.0,0.0,0,0,10.665234443999996,5.198748334999999,0.8881694480000001,11.516809443,0.0037505539999999993,0.0035022219999999997,0.5504927770000001,1.53495611,0.7118166659999999,3.3213394409999997,1.2759988889999998
2015-01-22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002083360000000001,0.0004155570000000001,0.030992224,0.0,0.0,0.0,0.0,0.0,0,0,12.669445561000002,4.0101072219999985,0.2933794460000001,4.879155555999999,0.00797722,0.004080556,0.5470783329999998,0.7413211139999998,0.609951667,0.7416566709999999,1.2064638900000002
2015-01-23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002588970000000002,0.000563335,0.031630556,0.0,0.0,0.0,0.0,0.0,0,0,8.612918887,3.7707722239999995,0.545006669,0.7949766640000004,0.0060833350000000005,0.004347781000000001,0.5419400010000001,0.23728500299999994,0.6270516679999998,2.903011114,1.332777221
2015-01-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00026667400000000006,0.0006050030000000002,0.031522217,0.0,0.0,0.0,0.0,0.0,0,0,5.574792777999999,2.757213890999999,0.010659998999999998,1.1374394460000001,0.00516278,0.004522226,0.5457494429999998,0.45568555600000005,0.613409442,2.5175461100000005,1.4538633310000002
2015-01-25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00025667700000000013,0.0005544450000000001,0.032060560000000016,0.0,0.0,0.0,0.0,0.0,0,0,5.626547777999999,2.7694149999999995,0.010880555000000002,0.020433889000000004,0.0056949999999999995,0.004571670000000001,0.5363205560000001,0.251766666,0.607534443,0.172351112,1.469997223
2015-01-26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00028722899999999996,0.0006661100000000002,0.03200944199999999,0.0,0.0,0.0,0.0,0.0,0,0,9.672426668,3.699657221,0.02479000399999999,0.182671666,0.008828329999999999,0.0054322220000000004,0.5443838889999999,0.5434594449999999,1.1432161090000004,1.2830933340000001,1.4571522239999997
2015-01-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00028834099999999996,0.000672224,0.032486110000000006,0.0,0.0,0.0,0.0,0.0,0,0,8.854408333000002,3.5887727789999984,0.022546114000000006,2.4677738860000007,0.008249997,0.0048205559999999975,0.543077222,0.6365277770000001,0.6043738880000002,0.171466665,1.451892221
2015-01-28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00028500600000000003,0.0006533310000000003,0.032038886999999995,0.0,0.0,0.0,0.0,0.0,0,0,9.329126114,3.432246666,0.024418332000000008,1.7470388880000003,0.008716112999999998,0.004963336,0.5442522190000002,0.7942455560000001,0.7980777790000001,0.172027222,1.3961372239999998
2015-01-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000283888,0.000619998,0.031894998,0.0,0.0,0.0,0.0,0.0,0,0,8.721703332,3.552644442999999,0.022188332000000005,0.25628944699999995,0.008786670999999998,0.004947225999999998,0.5266444440000002,0.461215557,0.739952776,0.171990558,1.364967777
2015-01-30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029667399999999986,0.0006366680000000001,0.03178888999999999,0.0,0.0,0.0,0.0,0.0,0,0,6.467975001000002,3.5023805540000015,0.014092777999999999,0.020442777999999995,0.008082781,0.004863888999999999,0.5445661049999999,0.3288283309999999,0.8121055549999999,0.17178999800000003,1.378639999
2015-01-31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002877850000000001,0.000579446,0.03189555799999999,0.0,0.0,0.0,0.0,0.0,0,0,9.007958333999996,2.786821115,0.021990556000000005,0.019554999,0.006877218,0.004864444999999999,0.5237627790000002,0.26793777899999993,0.6041644439999999,0.171425555,1.46292611
2015-02-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000286673,0.0005872219999999998,0.032145001,0.0,0.0,0.0,0.0,0.0,0,0,8.297597776,2.7422877759999995,0.01934167,0.019797220999999993,0.0065622200000000006,0.004816113999999999,0.533926668,0.23847166700000003,0.60681,0.17194833200000004,1.4586455549999993
2015-02-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000308892,0.0006450039999999997,0.03215833599999999,0.0,0.0,0.0,0.0,0.0,0,0,8.276726109000002,3.496647223999999,0.020347777,0.17844611000000002,0.010147221999999997,0.0054172249999999995,0.5425922199999998,0.547136666,1.9766966670000001,0.17165277399999998,1.3516816649999996
2015-02-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000296115,0.0005577739999999998,0.032245557999999994,0.0,0.0,0.0,0.0,0.0,0,0,8.722232221000002,3.475803332999999,0.022233889000000003,0.45461499400000005,0.008598887000000001,0.004840550999999999,0.528711667,0.547941667,0.604614999,0.171622221,1.3573122240000002
2015-02-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029778199999999996,0.0005533349999999997,0.032321667000000005,0.0,0.0,0.0,0.0,0.0,0,0,10.858398889000004,3.53528611,0.029143892999999997,1.3492544439999998,0.011658333000000003,0.005848888000000001,0.541536666,0.907158887,2.3109611109999997,0.17199277799999999,1.4231855590000004
2015-02-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00031834100000000003,0.000567781,0.03276666500000001,0.0,0.0,0.0,0.0,0.0,0,0,10.755222218999998,2.751737224,0.028762776999999993,0.9210122249999999,0.013174446,0.007287776,1.236927778,1.0015983329999998,3.074487221,0.17094722000000004,1.428077224
2015-02-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000308336,0.000533887,0.03259833,0.0,0.0,0.0,0.0,0.0,0,0,14.540945001999997,2.879077776000001,0.042489998000000015,0.32001944800000004,0.017891670000000005,0.009564999,1.6429827789999998,0.8379344440000002,4.506105556,0.17053777899999997,1.2670711099999998
2015-02-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029056000000000004,0.0004838880000000003,0.031959446999999995,0.0,0.0,0.0,0.0,0.0,0,0,8.981801108,2.9858394440000002,0.021883336000000003,0.058109446,0.012882777,0.007081113000000003,1.6515133300000002,0.26210944399999997,2.721636664,0.16948444400000004,1.1762027820000005
2015-02-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00024889300000000025,0.00045610300000000024,0.032052776,0.0,0.0,0.0,0.0,0.0,0,0,11.797797779000001,3.0114605559999994,0.032000556,0.05530555699999999,0.010099998999999998,0.005541666000000001,1.652166114,0.23792944499999996,0.598043891,0.17054444800000004,1.3101961119999999
2015-02-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002811150000000001,0.000460551,0.032118334,0.0,0.0,0.0,0.0,0.0,0,0,10.095987222,3.7009911120000005,0.026973332,0.38110666800000004,0.012252222,0.005919444000000002,1.6532811110000003,0.33345944400000005,0.601544445,0.17127944500000006,1.3088683309999998
2015-02-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000292781,0.000453327,0.03229944300000001,0.0,0.0,0.0,0.0,0.0,0,0,10.183377222999999,4.998997778,0.027038331,0.405442221,0.016791668000000003,0.008059441,1.6424377769999998,0.361169999,2.7519661139999982,0.17108999799999997,1.3351333350000003
2015-02-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000287229,0.0004777740000000002,0.03248166699999999,0.0,0.0,0.0,0.0,0.0,0,0,12.503834444,5.073876666,0.034374996,3.4511749970000003,0.015675562,0.007843889,1.629407224,0.320503335,0.7455627789999999,0.17163277899999999,1.330951113
2015-02-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030333899999999985,0.00045499300000000005,0.032267222000000005,0.0,0.0,0.0,0.0,0.0,0,0,11.500144445000002,5.094551110000001,0.03007499999999999,0.325913334,0.025924998,0.015475557000000006,1.643052773,0.4443150000000002,7.408230549000001,0.16993000199999997,1.3282127750000003
2015-02-13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030278400000000006,0.00045666000000000006,0.032261109,0.0,0.0,0.0,0.0,0.0,0,0,12.527294999999995,4.08766389,0.033082221,0.18218222100000006,0.012479996999999998,0.00692611,1.6339905539999997,0.24336277800000006,1.4682861079999998,0.172200557,1.364708894
2015-02-14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00028167400000000015,0.00046443800000000007,0.032081666999999994,0.0,0.0,0.0,0.0,0.0,0,0,18.200896667000002,3.0328988879999996,0.052057778999999985,0.02805278,0.015254442,0.007090003000000002,1.6542600019999993,0.23874444100000003,0.785237223,0.17279333499999996,1.322635557
2015-02-15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002622300000000001,0.00047666500000000025,0.032146667,0.0,0.0,0.0,0.0,0.0,0,0,15.098361667999997,2.9871727740000003,0.04191444899999999,0.020054999,0.012399444000000003,0.006226115,1.647816114,0.22920444299999992,0.5986627769999999,0.17608388900000005,1.3164833349999996
2015-02-16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00031722700000000006,0.00048277900000000024,0.032259999,0.0,0.0,0.0,0.0,0.0,0,0,18.792832222999998,3.6498716719999993,0.055116113999999994,0.28351166899999997,0.014070001000000006,0.0070027799999999975,1.630025555,0.25453,0.6007166629999996,0.177761114,1.354022226
2015-02-17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029056199999999996,0.00047111000000000017,0.032331109000000004,0.0,0.0,0.0,0.0,0.0,0,0,10.960834442000001,4.355980552,0.028209443000000004,0.3586516669999999,0.011612224999999999,0.006013336999999999,1.6456083319999995,0.29654778,0.7330005520000002,0.7831005560000003,1.3417555560000003
2015-02-18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000299454,0.0004483259999999999,0.032192218,0.0,0.0,0.0,0.0,0.0,0,0,15.557793883999995,4.394096107,0.04408,1.4600988889999997,0.013300553,0.006396666,1.6308022210000004,0.22916722200000003,0.6021783339999999,0.17234055500000003,1.3311238910000003
2015-02-19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029778099999999995,0.00044665800000000017,0.031930002,0.0,0.0,0.0,0.0,0.0,0,0,14.97913278,4.414928335999998,0.04072055600000001,0.44523389400000013,0.013507780000000002,0.006495557,1.6502355560000002,1.024313892,0.9617811119999999,2.088539996,1.3408044440000002
2015-02-20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030611299999999995,0.00048055800000000007,0.03250333500000001,0.0,0.0,0.0,0.0,0.0,0,0,10.525842774999997,4.623263329,0.025939441999999997,2.4411144410000003,0.014043332000000004,0.007320554000000002,1.6366788910000003,1.3369099969999994,0.66967222,0.174174445,1.356891111
2015-02-21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002655630000000003,0.0004766650000000003,0.031981666000000006,0.0,0.0,0.0,0.0,0.0,0,0,19.032273888,5.057122779000002,0.054715558,0.143291662,0.013395003,0.0067111110000000005,1.6501949990000004,1.2986150020000005,0.6001011110000002,0.17210110800000006,1.2958188919999998
2015-02-22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00025889100000000013,0.0004772200000000001,0.03264555400000001,0.0,0.0,0.0,0.0,0.0,0,0,8.720341111,5.028941666000001,0.020906664000000002,0.023549998,0.008457222000000002,0.005775000000000001,1.6545111090000004,1.30045111,0.607166112,0.17181889,1.3937688830000001
2015-02-23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030611600000000005,0.00043999199999999994,0.03246389,0.0,0.0,0.0,0.0,0.0,0,0,13.316546665999999,4.476025555000001,0.03270055299999999,0.18856500199999998,0.011761666000000002,0.005369997,1.6368083349999998,0.9783500019999999,0.9006188890000004,2.1547877769999992,1.3843611120000001
2015-02-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000304449,0.0004372139999999999,0.032598332,0.0,0.0,0.0,0.0,0.0,0,0,12.321940555000001,3.2558494460000005,0.029556667999999998,0.050777776999999996,0.011857777,0.002684997,1.640407778,0.5620722200000002,0.6984744490000002,2.901104443,1.3632033329999997
2015-02-25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000298893,0.0004461040000000001,0.032416111,0.0,0.0,0.0,0.0,0.0,0,0,12.043486112000004,3.8321977809999987,0.031411663,0.05048389100000001,0.010718891999999995,0.0026961090000000004,1.6343261139999998,1.105470001,0.9593733330000002,2.916011666,1.3673822230000006
2015-02-26,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030500500000000007,0.00046332800000000005,0.032129999000000006,0.0,0.0,0.0,0.0,0.0,0,0,11.595542776000002,3.0395716669999997,0.031624999,0.17571722100000003,0.011848334000000004,0.0030788900000000004,1.6572938899999996,1.0527899999999997,0.9070466659999998,1.147271666,1.3696772250000004
2015-02-27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003050029999999999,0.0004861130000000003,0.03226222,0.0,0.0,0.0,0.0,0.0,0,0,8.783278334,3.114972224999999,0.020708888999999994,0.05033111099999999,0.010060554000000001,0.0029949990000000004,1.632383888,0.591233331,0.8328855529999999,2.4425138879999997,1.4116211100000002
2015-02-28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003050080000000001,0.00048388900000000015,0.03217222199999999,0.0,0.0,0.0,0.0,0.0,0,0,14.980723334000004,2.969245555,0.041937777,0.05048777599999999,0.012933334000000006,0.0031850009999999994,1.6324450019999996,0.22781999800000002,0.4014638890000001,1.1027799980000002,1.3597288889999997
2015-03-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00029556300000000004,0.00047388500000000017,0.032185553,0.0,0.0,0.0,0.0,0.0,0,0,12.110067222,2.9894977790000006,0.032109443,0.05095889000000001,0.010984444999999997,0.002957223,1.6555344439999993,0.22612777800000003,0.002703332000000001,0.42066222299999995,1.3392533309999997
2015-03-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003105610000000001,0.0004877800000000002,0.031776663999999996,0.0,0.0,0.0,0.0,0.0,0,0,14.037807778999998,3.0714305559999997,0.037810555,0.048952225,0.012258335,0.003043885999999999,1.6470544459999996,0.8811433350000001,0.626455556,3.2972883349999997,1.3670494469999999
2015-03-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00030611400000000007,0.0004883360000000002,0.032177221000000006,0.0,0.0,0.0,0.0,0.0,0,0,11.976007225000005,2.9547349979999993,0.032042223999999994,0.050596667999999984,0.012542223000000003,0.003168886000000001,1.6344533380000004,1.0076233340000003,0.128238331,0.43808110999999983,1.3995266669999997
2015-03-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0003155589999999999,0.0004883390000000002,0.032252220000000005,0.0,0.0,0.0,0.0,0.0,0,0,10.000325554000002,2.951118887,0.025984443999999995,0.07789389,0.011154447000000001,0.003025556000000001,1.654247779,1.0142555569999998,0.029684443000000005,0.41967555199999984,1.392848333
2015-03-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000301673,0.0004755550000000003,0.032432222000000004,0.0,0.0,0.0,0.0,0.0,0,0,8.325403334,3.26758111,0.019464445,0.07743388600000002,0.009958333000000003,0.0029705579999999994,1.6548488909999999,0.7225038899999999,0.018288892000000005,0.41885277900000006,1.4352355599999997
2015-03-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.000326666,0.0004805560000000002,0.03235222100000001,0.0,0.0,0.0,0.0,0.0,0,0,12.022223886999996,3.0130072210000005,0.032350000999999996,0.601673335,0.01165889,0.0033022229999999995,1.6323944470000002,1.0416550000000002,0.002881665999999999,0.4219366660000001,1.411979447
